dataId,region,genre,contentType,title,length,releaseYear,votes,rating,description
102795,India,Drama,movie,Ratha Kanneer,154.0,1954,349,8.5,"The story revolves around Mohanasundaram, a returned-from-abroad, westernized, rich man who shows arrogance and contempt towards anything part of Indian culture and anyone below his social standards."
103290,India,Drama,movie,Kabuliwala,95.0,1961,345,8.0,"A poor Afghani leaves his family behind to earn a living as a dried fruit vendor in India. Profoundly homesick, he befriends a young girl who reminds him of his own daughter. Meanwhile, the locals are distrustful of all foreigners."
102469,United States,Drama,movie,Secrets,-1.0,-1,353,8.5,"When a tragedy strikes, a group of friends learn some secrets are better left buried. On the surface Ariel and Greg appear to be the perfect couple, until Greg goes missing and Ariel's ...                 »
"
102486,United Kingdom,Drama,movie,"Comfort the Disturbed, Disturb the Comforted",76.0,2006,353,8.3,"DOG used to run a highly profitable team of international telephone fraudsters, until he was chased into hiding by a hit-man. With little human contact and only a white crow for company, ...                 »
"
102701,India,Action,movie,Local Utpaat,-1.0,2022,350,8.5,"Add a Plot
"
101089,India,Drama,movie,Mouchak,131.0,1974,366,8.0,A newly appointed good-looking officer catches the eyes of the fathers of would-be-brides. But he has some other plans.
100372,India,Drama,movie,Dostojee,111.0,2021,373,8.3,Two 8-year old boys navigate a growing religious divide in this portrait of childhood set after the destruction of India's Babri Mosque.
100771,United Kingdom,Drama,movie,National Theatre Live: The Curious Incident of the Dog in the Night-Time,160.0,-1,369,8.6,"Christopher has an extraordinary brain - exceptional at maths while ill-equipped to interpret everyday life. When his neighbour's dog is murdered, he ventures on a frightening journey that upturns his world."
99893,India,Drama,movie,Padmavyuhathile Abhimanyu,130.0,2019,379,8.1,"Add a Plot
"
99348,India,Drama,movie,Siri Lambodara Vivaha,-1.0,2023,384,9.2,"Add a Plot
"
99427,India,Drama,movie,Made in Bengaluru,-1.0,2022,383,8.0,"Bengaluru is a five-hundred year old city without much folklore, ask any Bengalurian where he is from and zap comes the reply where his grandfather hailed from. This story is not just about...                See full synopsis »
"
99448,India,Action,movie,Alluri Seetharama Raju,187.0,1974,383,8.0,Biopic on the life of the famous Telugu freedom fighter Alluri Seetarama Raju.
99543,India,Drama,movie,Thiruvilayadal,154.0,1965,382,8.1,"Lord Shiva goes through an adventurous ride and performs various antics to test the people on earth. Based on Paranjothi Munivar's epic ""Thiruvilayadal Puranam""."
99650,India,Drama,movie,Divaswapna,130.0,2021,381,9.0,"Divaswapna is a story of the journey of a village boy named Kanaji who achieved all his dreams with his courage, commitment and passion despite of many odds in his life."
99765,United Kingdom,Drama,movie,Casualty 1906,60.0,-1,380,8.1,"Casualty 1906 is an innovative hospital drama that plunges the viewer into the Receiving Room (today's A&E) of the London hospital deep in the teeming East End. The drama is shot with the ...                 »
"
99203,Canada,Drama,movie,J.A. Martin photographe,100.0,1977,386,8.0,The wife of photographer J. A. Martin decides to go with him in his tour of the hard Canadian countryside at the turn of the century. She hopes the intimacy will revive their marriage.
